PLAYER NAME,%
Jim Furyk,74.22
Kyle Stanley,72.54
Russell Henley,72.53
Aaron Wise,72.10
Emiliano Grillo,71.95
Corey Conners,71.89
Xander Schauffele,71.74
Will Gordon,71.70
Josh Teater,71.54
Doc Redman,71.11
Harris English,71.09
Paul Casey,71.06
Webb Simpson,70.96
Henrik Norlander,70.83
Harold Varner III,70.68
Martin Laird,70.51
Tom Lewis,70.49
Pat Perez,70.47
Matthew NeSmith,70.45
Brice Garnett,70.44
Bryson DeChambeau,70.41
Hideki Matsuyama,70.25
Collin Morikawa,70.24
Jhonattan Vegas,70.22
Chesson Hadley,70.21
Nick Watney,70.20
Tyrrell Hatton,70.19
Justin Thomas,70.16
Russell Knox,70.11
Bo Hoag,70.09
Chris Baker,70.07
Joseph Bramlett,70.02
Jon Rahm,69.93
Joaquin Niemann,69.87
Chris Kirk,69.87
Luke List,69.82
George McNeill,69.81
Charles Howell III,69.76
Scott Stallings,69.74
Cameron Percy,69.63
Doug Ghim,69.58
Bill Haas,69.44
Seamus Power,69.44
James Hahn,69.44
Cameron Tringale,69.40
Shane Lowry,69.31
Patrick Cantlay,69.31
Lucas Glover,69.23
Tony Finau,69.18
Gary Woodland,69.15
Adam Schenk,69.13
Brendan Steele,69.05
Cameron Davis,69.03
"Ted Potter, Jr.",68.94
Ben Taylor,68.92
Ryan Armour,68.85
Jason Kokrak,68.83
Cameron Champ,68.80
Ryan Brehm,68.78
Viktor Hovland,68.73
Adam Long,68.68
Adam Hadwin,68.64
Rory McIlroy,68.63
Ryan Moore,68.56
Roberto Castro,68.52
Scottie Scheffler,68.49
Nick Taylor,68.45
Branden Grace,68.43
Zack Sucher,68.36
Adam Scott,68.33
Sergio Garcia,68.31
Daniel Berger,68.27
Michael Gellerman,68.25
Austin Cook,68.24
D.J. Trahan,68.20
Talor Gooch,68.15
Chase Seiffert,68.11
Anirban Lahiri,68.10
Richy Werenski,68.06
Kevin Streelman,68.03
Stewart Cink,67.97
Peter Uihlein,67.96
Wes Roach,67.92
Jason Dufner,67.83
Shawn Stefani,67.78
Sungjae Im,67.72
Robby Shelton,67.72
Abraham Ancer,67.71
Billy Horschel,67.71
Hank Lebioda,67.68
Brandon Hagy,67.63
Tyler Duncan,67.63
Tommy Fleetwood,67.59
Charley Hoffman,67.58
Denny McCarthy,67.58
Zach Johnson,67.54
Bubba Watson,67.53
Tim Wilkinson,67.39
Robert Streb,67.33
Jonathan Byrd,67.28
Chez Reavie,67.28
C.T. Pan,67.26
Patrick Rodgers,67.24
Kristoffer Ventura,67.17
Maverick McNealy,67.16
Sepp Straka,67.16
Michael Gligic,67.13
Ben Martin,67.13
Dustin Johnson,67.12
Alex Cejka,67.08
Ryan Palmer,67.06
Sam Burns,67.06
Carlos Ortiz,66.92
Jason Day,66.90
Bronson Burgoon,66.88
David Hearn,66.88
Brooks Koepka,66.81
Mark Anderson,66.78
Byeong Hun An,66.75
Sam Ryder,66.75
Matthew Wolff,66.75
Vincent Whaley,66.67
Mark Hubbard,66.67
Brendon Todd,66.67
Louis Oosthuizen,66.67
Fabi치n G칩mez,66.67
Troy Merritt,66.58
Xinjun Zhang,66.52
Arjun Atwal,66.49
Tom Hoge,66.42
Michael Thompson,66.27
Tyler McCumber,66.25
Kramer Hickok,66.21
Matt Jones,66.20
Keegan Bradley,66.15
Harry Higgs,66.15
Danny Lee,66.12
Matthew Fitzpatrick,66.09
Dylan Frittelli,66.08
Sebasti치n Mu침oz,66.05
J.J. Spaun,66.00
Rickie Fowler,65.97
Brandt Snedeker,65.90
Lanto Griffin,65.90
Sung Kang,65.73
Patrick Reed,65.68
Andrew Landry,65.66
Bud Cauley,65.63
Brian Harman,65.63
Matt Kuchar,65.63
Rory Sabbatini,65.63
Roger Sloan,65.58
J.T. Poston,65.48
Max Homa,65.45
Kyoung-Hoon Lee,65.36
Beau Hossler,65.34
Kevin Kisner,65.30
Brian Stuard,65.26
Rhein Gibson,65.22
Nate Lashley,65.22
Rob Oppenheim,65.21
Kevin Chappell,65.18
Bo Van Pelt,65.12
Matt Every,65.06
Hudson Swafford,65.05
Si Woo Kim,65.00
Brian Gay,64.94
Aaron Baddeley,64.89
Patton Kizzire,64.85
Keith Mitchell,64.81
Scott Piercy,64.78
Jim Herman,64.71
Chris Stroud,64.61
Scott Harrington,64.50
Sebastian Cappelen,64.36
Alex Noren,64.35
Scott Brown,64.34
Cameron Smith,64.32
Kevin Na,64.31
Phil Mickelson,64.06
Erik van Rooyen,64.05
Christiaan Bezuidenhout,64.05
John Senden,63.98
Joel Dahmen,63.93
Grayson Murray,63.89
Rafa Cabrera Bello,63.84
Andrew Putnam,63.77
Vaughn Taylor,63.75
Matt Wallace,63.64
Marc Leishman,63.62
Mackenzie Hughes,63.60
Graeme McDowell,63.53
Zac Blair,63.37
Dominic Bozzelli,62.96
Nelson Ledesma,62.64
Kevin Tway,62.62
Peter Malnati,62.57
Danny Willett,62.50
Ricky Barnes,62.50
Wyndham Clark,62.38
Jimmy Walker,62.20
Ian Poulter,62.12
Jordan Spieth,62.04
Jazz Janewattananond,62.04
Rafael Campos,61.88
Justin Rose,61.60
Luke Donald,61.44
Charl Schwartzel,61.44
Satoshi Kodaira,61.29
Steve Stricker,58.33
Martin Trainer,52.05
