PLAYER NAME,AVERAGE
Bryson DeChambeau,1.175
Cameron Champ,1.060
Sergio Garcia,.848
Rory McIlroy,.807
Jon Rahm,.744
Jhonattan Vegas,.721
Xander Schauffele,.721
Bubba Watson,.660
Scottie Scheffler,.643
Jason Kokrak,.640
Corey Conners,.588
Matthew Wolff,.588
Paul Casey,.579
Will Gordon,.564
Dustin Johnson,.559
Viktor Hovland,.514
Sungjae Im,.494
Sam Burns,.491
Collin Morikawa,.480
Harold Varner III,.454
Keith Mitchell,.428
Doc Redman,.413
Daniel Berger,.412
Luke List,.409
Justin Thomas,.407
Joel Dahmen,.405
Abraham Ancer,.405
Tommy Fleetwood,.396
Billy Horschel,.387
Tony Finau,.387
Ryan Palmer,.379
Joaquin Niemann,.372
Patrick Cantlay,.371
Brooks Koepka,.362
Hideki Matsuyama,.347
Ryan Brehm,.346
Erik van Rooyen,.341
Harry Higgs,.338
Lucas Glover,.336
Adam Schenk,.335
Kevin Streelman,.326
Harris English,.326
Sepp Straka,.311
Patrick Rodgers,.308
Max Homa,.301
Chris Kirk,.292
Ryan Moore,.291
Andrew Landry,.287
Austin Cook,.276
Scott Harrington,.267
Patrick Reed,.262
Jim Herman,.255
Martin Laird,.251
Scott Piercy,.246
Jason Day,.240
Rickie Fowler,.238
Brice Garnett,.236
Emiliano Grillo,.221
Tyler McCumber,.215
Cameron Davis,.215
Matthew Fitzpatrick,.213
Chris Baker,.211
Danny Lee,.208
Sebasti치n Mu침oz,.206
Scott Brown,.198
Kramer Hickok,.195
J.T. Poston,.193
Keegan Bradley,.187
Justin Rose,.186
Matt Jones,.184
Shane Lowry,.174
Kristoffer Ventura,.172
Grayson Murray,.164
Tom Lewis,.162
Brendan Steele,.161
Kevin Kisner,.161
Matt Wallace,.158
James Hahn,.143
Nick Taylor,.143
Michael Gligic,.136
Robby Shelton,.131
Zack Sucher,.127
Henrik Norlander,.124
Seamus Power,.124
Webb Simpson,.122
Xinjun Zhang,.115
Tom Hoge,.102
Chesson Hadley,.099
Tyrrell Hatton,.095
Brian Harman,.094
Chase Seiffert,.087
Lanto Griffin,.078
Ryan Armour,.073
Tyler Duncan,.070
Kyoung-Hoon Lee,.062
Anirban Lahiri,.050
Kyle Stanley,.048
Jason Dufner,.047
Gary Woodland,.043
Phil Mickelson,.035
Louis Oosthuizen,.034
Adam Long,.028
Sung Kang,.027
Rory Sabbatini,.019
Maverick McNealy,.019
Mark Hubbard,.018
Aaron Wise,.016
Dylan Frittelli,.015
Russell Henley,.012
Adam Scott,.005
Vincent Whaley,-.002
Byeong Hun An,-.003
Danny Willett,-.004
Adam Hadwin,-.012
Charley Hoffman,-.022
D.J. Trahan,-.027
Talor Gooch,-.027
Marc Leishman,-.028
Ben Martin,-.029
Sam Ryder,-.040
Vaughn Taylor,-.043
Brendon Todd,-.054
Matt Kuchar,-.055
J.J. Spaun,-.057
Brandon Hagy,-.059
Troy Merritt,-.061
Hank Lebioda,-.062
Bronson Burgoon,-.067
Cameron Tringale,-.071
Joseph Bramlett,-.072
Richy Werenski,-.073
Doug Ghim,-.074
Cameron Percy,-.078
Charles Howell III,-.080
Josh Teater,-.080
Carlos Ortiz,-.082
Si Woo Kim,-.091
Rafa Cabrera Bello,-.096
Jim Furyk,-.099
Kevin Chappell,-.099
Roberto Castro,-.110
Tim Wilkinson,-.112
Robert Streb,-.117
Stewart Cink,-.118
Mark Anderson,-.123
Matthew NeSmith,-.126
Zach Johnson,-.130
Chez Reavie,-.132
Bill Haas,-.133
Bo Hoag,-.135
Alex Noren,-.138
Bud Cauley,-.141
Michael Thompson,-.142
Russell Knox,-.145
Pat Perez,-.154
Rafael Campos,-.156
Denny McCarthy,-.171
Cameron Smith,-.173
Wes Roach,-.175
Jonathan Byrd,-.180
Branden Grace,-.181
Scott Stallings,-.185
Beau Hossler,-.191
Roger Sloan,-.198
Nate Lashley,-.208
Ian Poulter,-.212
David Hearn,-.220
Hudson Swafford,-.230
Brian Stuard,-.242
Jazz Janewattananond,-.250
Fabi치n G칩mez,-.251
Charl Schwartzel,-.257
C.T. Pan,-.258
Alex Cejka,-.262
Jordan Spieth,-.264
Rob Oppenheim,-.282
Sebastian Cappelen,-.293
Arjun Atwal,-.315
Shawn Stefani,-.315
Brandt Snedeker,-.316
Steve Stricker,-.329
Matt Every,-.335
Ben Taylor,-.337
Mackenzie Hughes,-.357
George McNeill,-.361
Brian Gay,-.364
"Ted Potter, Jr.",-.378
Chris Stroud,-.390
Zac Blair,-.395
Michael Gellerman,-.404
Wyndham Clark,-.406
Kevin Na,-.410
Kevin Tway,-.422
Nick Watney,-.433
Peter Malnati,-.461
Christiaan Bezuidenhout,-.480
Satoshi Kodaira,-.533
Bo Van Pelt,-.568
Graeme McDowell,-.580
Patton Kizzire,-.661
Nelson Ledesma,-.704
Peter Uihlein,-.724
Aaron Baddeley,-.736
Martin Trainer,-.760
Dominic Bozzelli,-.839
Ricky Barnes,-.864
Rhein Gibson,-.888
Jimmy Walker,-.909
John Senden,-.920
Luke Donald,-1.015
Andrew Putnam,-1.121
